"ID","Description","Type","Category","Reference","Year","DOI","Lower moisture","Higher moisture","Fixed carbon","Volatile matter","Ash","HHV","LHV","Cellulose","Hemicellulose","Lignin","C","H","O","N","S","Cl","SiO2","CaO","Al2O3","Fe2O3","Na2O","K2O","MgO","P2O5","TiO2","SO3","Cr2O3"
"Almond","Almond shell","Biomass","Agricultural","Baratieri et al.",2008,"10.1016/j.biortech.2008.01.006",11.5,,,,2.9,,16,,,,40.9,5.2,38.6,0.9,,,,,,,,,,,,,
"Bagasse0","Sugar cane bagasse","Biomass","Agricultural","Baratieri et al.",2008,"10.1016/j.biortech.2008.01.006",7.1,,,,0.9,,16.2,,,,46,5.4,40.3,0.2,0.1,,,,,,,,,,,,
"Bagasse1","Sugar cane bagasse","Biomass","Agricultural","Seabra et al.",2010,"10.1016/j.biombioe.2010.01.042",50.2,,18,79.9,2.2,18.1,,39.01,24.91,23.09,44.6,5.8,44.5,0.6,0.1,0.02,46.79,4.91,14.6,11.12,1.61,6.95,4.56,3.87,2.02,3.57,
"BeechWood","Beech wood chips","Biomass","Wood","Palma",2013,"10.1021/ef4004297",10.2,,16,83,1.04,19.071,,,,24,48.55,5.97,44.28,0.14,0.017,0.005,,,,,,,,,,,
"BiomassOP","Olive pulp","Biomass","Agricultural","Fermoso et al.",2010,"10.1016/j.biortech.2009.12.035",,,,71.9,7.6,21.6,,,,,54.3,6.6,37,1.9,0.2,,,,,,,,,,,,
"BiomassPS","Pine sawdust","Biomass","Wood","Fermoso et al.",2010,"10.1016/j.biortech.2009.12.035",,,,86.5,1.4,20.2,,,,,49.8,6.6,43.4,0.2,0,,,,,,,,,,,,
"BlackCoal","Low-grade coal from Escatron in Spain","Coal",,"Pan et al.",2000,"10.1016/S0016-2361(99)00258-6",8,,25.2,40.2,34.6,,,,,,37.4,2.9,15.7,0.5,8,,,,,,,,,,,,
"CandiotaCoal","Candiota coal (seam ID: CCS and CCI)","Coal","Subbituminous","Kalkreuth et al.",2006,"10.1016/j.coal.2005.10.006",11.025,,23.425,19.485,46.065,12.54877,,,,,31.52,3.445,17.5,0.47,1,,33.565,5.65,9.2775,2.6175,0.1225,0.9275,0.43,0.02,0.3475,1.66,
"CaneStraw","Sugar cane straw","Biomass","Straw","Seabra et al.",2010,"10.1016/j.biombioe.2010.01.042",29.4,,12.8,83.3,3.9,17.4,,41.42,32.65,22.82,46.2,6.2,43,0.5,0.1,0.1,,,,,,,,,,,
"CapimElefante0","Pennisetum purpureum","Biomass","Grass","Broetto et al.",2012,,9.97,,7.95,68.93,12.84,16.935606,,33.4,55.4,11.2,46.52,5.87,46.04,1.47,0.1,0.21,,,,,,,,,,,
"CapimElefante1","Pennisetum purpureum","Biomass","Grass","Perez et al.",2004,,12.2,,15.54,67.34,4.92,14.7,,,,,41.16,5.55,45.91,,,,,,,,,,,,,,
"Cedar","Cedar sawdust","Biomass","Wood","Li et al.",2004,"10.1016/S0961-9534(03)00084-9",10.6,,,,0.79,20.4,,,,,52.3,6.11,39.9,0.52,0.39,,,,,,,,,,,,
"Charcoal","Mean Fuwape's charcoals","Biomass","Charcoal","Fuwape",1993,"10.1007/BF00705232",7.135,,,,2.425,25.28,,,,,65.19,5.545,25.65,0.83,0.37,,,,,,,,,,,,
"Charcoal0","Mangrove wood charcoal","Biomass","Charcoal","Salam & Bhattacharya",2006,"10.1016/j.energy.2005.01.004",6.2,,72.78,24.52,2.7,,,,,,77.53,4.3,17.88,0.22,0.05,,,,,,,,,,,,
"Charcoal1","Leucaena leucocephala charcoal","Biomass","Charcoal","Fuwape",1993,"10.1007/BF00705232",7.42,,,,1.64,24.15,,,,,63.37,5.63,28.2,0.81,0.43,,,,,,,,,,,,
"Charcoal2","Tectona grandis charcoal","Biomass","Charcoal","Fuwape",1993,"10.1007/BF00705232",6.85,,,,3.21,26.41,,,,,67.01,5.46,23.1,0.85,0.31,,,,,,,,,,,,
"Coal0","Coal","Coal",,"Pinto et al.",2003,"10.1016/S0016-2361(03)00160-1",5.5,,37.3,24.9,32.3,30.65,,,,,77.3,5.3,14.2,1.3,1.9,,,,,,,,,,,,
"CoalA","Coal from Shanxi Province in China","Coal",,"Song et al.",2013,"10.1016/j.fuproc.2013.03.045",1.07,,91.66,8.34,25.42,,25.07,,,,87.94,3.22,5.32,1.1,2.42,,,,,,,,,,,,
"CoalCoke","Coal-coke (50 %wt)","Coal",,"Hernandez et al.",2010,"10.1021/ef901585f",0.91,,59.49,14.81,25.7,,22.5,,,,61.51,3.13,5.23,1.5,2.94,,52.05,4.41,25.1,4.4,0.46,2.34,0.78,0.07,0.64,2.04,
"CoalDT","High volatile bituminous coal from China","Coal","Bituminous","Fermoso et al.",2010,"10.1016/j.biortech.2009.12.035",,,,29,10.9,32.4,,,,,81.9,5,11.1,0.8,1.2,,,,,,,,,,,,
"CoalHV","Semianthracite coal from Spain","Coal","Anthracite","Fermoso et al.",2010,"10.1016/j.biortech.2009.12.035",,,,8.6,8.8,35.1,,,,,90.6,2.8,3,1.7,1.9,,,,,,,,,,,,
"CoalPT","High volatile bituminous coal from Spain","Coal","Bituminous","Fermoso et al.",2010,"10.1016/j.biortech.2009.12.035",,,,24.7,36.3,29.1,,,,,71.2,4.8,20.8,1.5,1.7,,,,,,,,,,,,
"CoalSA","Medium volatile bituminous coal from South Africa","Coal","Bituminous","Fermoso et al.",2010,,,,,25.6,14.9,32.9,,,,,78.6,4.9,13.9,1.9,0.7,,,,,,,,,,,,
"CoalTest","Coal for test","Coal",,"Hoffmann",2005,,9.07,,55.44,36.97,7.59,30,,,,,78.03,5.06,5.66,1.69,1.97,,,,,,,,,,,,
